sid,uid,episode,json字数,pdf字数,比率,連問,json先頭80字
hema,hema_ch06_q258,98C-6,337,819,41%,Y,連問 3/366 歳の男性。全身倦怠感と腹部膨満とを訴えて来院した。現病歴：1 年前の健康診断で貧血を指摘されたが放置していた。3 か月前から徐々に倦怠感が増強
hema,hema_ch07_q293,115B-49,298,801,37%,Y,連問 1/2次の文を読み、293 と294 の問いに答えよ。52 歳の男性。腹部膨満感を主訴に来院した。現病歴：3 週前から腹部膨満感を自覚するようになった。食
hema,hema_ch07_q294,115B-50,60,834,7%,Y,リンパ節腫脹（圧痛なし・弾性硬・可動性あり）の患者。悪性リンパ腫疑い。今後の治療方針確定のために最も重要な検査はどれか。
imma,imma_ch02_q1,120B-45,353,921,38%,Y,連問 1/2次の文を読み、43 と44 の問いに答えよ。60 歳の男性。肺癌で2 週間後に右上葉切除術を予定されており、術前診察のために来院した。現病歴：会社の
imma,imma_ch02_q2,120B-46,316,913,34%,Y,連問 2/2次の文を読み、43 と44 の問いに答えよ。60 歳の男性。肺癌で2 週間後に右上葉切除術を予定されており、術前診察のために来院した。現病歴：会社の
imma,imma_ch02_q8,119E-41,322,464,69%,Y,連問 1/2次の文を読み、50 と51 の問いに答えよ。52 歳の女性。腹部造影CT 検査のために来院した。現病歴：2 週間前の健康診断で実施された腹部超音波検
imma,imma_ch02_q9,119E-42,333,557,59%,Y,連問 2/2次の文を読み、50 と51 の問いに答えよ。52 歳の女性。腹部造影CT 検査のために来院した。現病歴：2 週間前の健康診断で実施された腹部超音波検
imma,imma_ch03_q2,120C-64,329,951,34%,Y,連問 1/322 歳の女性。発熱を主訴に来院した。現病歴：2 週間前から39℃を超える発熱が連日出現し、1 週間前に自宅近くの診療所を受診した。解熱鎮痛薬と抗菌
imma,imma_ch03_q3,120C-65,323,953,33%,Y,連問 2/322 歳の女性。発熱を主訴に来院した。現病歴：2 週間前から39℃を超える発熱が連日出現し、1 週間前に自宅近くの診療所を受診した。解熱鎮痛薬と抗菌
imma,imma_ch03_q4,120C-66,322,951,33%,Y,連問 3/322 歳の女性。発熱を主訴に来院した。現病歴：2 週間前から39℃を超える発熱が連日出現し、1 週間前に自宅近くの診療所を受診した。解熱鎮痛薬と抗菌
imma,imma_ch03_q13,114B-49,307,638,48%,Y,連問 1/2次の文を読み、92 と93 の問いに答えよ。42 歳の女性。倦怠感と関節痛を主訴に来院した。現病歴：半年前に全身の倦怠感と両手首の痛みを自覚した。そ
imma,imma_ch03_q14,114B-50,315,649,48%,Y,連問 2/2次の文を読み、92 と93 の問いに答えよ。42 歳の女性。倦怠感と関節痛を主訴に来院した。現病歴：半年前に全身の倦怠感と両手首の痛みを自覚した。そ
imma,imma_ch04_q40,109H-31,314,715,43%,Y,連問 1/2次の文を読み、159 と160 の問いに答えよ。62 歳の男性。筋力低下を主訴に来院した。現病歴：3 か月前から階段の昇降に困難を感じていた。2 か
imma,imma_ch04_q41,109H-32,315,711,44%,Y,連問 2/2次の文を読み、159 と160 の問いに答えよ。62 歳の男性。筋力低下を主訴に来院した。現病歴：3 か月前から階段の昇降に困難を感じていた。2 か
imma,imma_ch05_q7,113B-43,85,786,10%,Y,"前問の続き。赤沈102mm/h、Hb9.6、白血球9,800、血小板47万。総蛋白・アルブミン正常。GCAと診断しステロイドを開始する際、投与前に確認すべき検査"
kansen,kansen_ch01_q35,118E-8,30,52,57%,,標準予防策適用の患者に対し、手袋なしで取り扱えるのはどれか。
kansen,kansen_ch01_q49,113B-11,35,57,61%,,救急外来での敗血症評価項目として、意識レベルとともに有用なのはどれか。
